PCR-PlatePosition,SequenceID,Barcode,KonsCt
A1,1015712,barcode01,24.56
A2,1015725,barcode02,24.56
A3,1015726,barcode03,24.56
A4,1015728,barcode04,24.56
A5,1015729,barcode05,24.56
A6,1015730,barcode06,24.56
A7,1015731,barcode07,24.56
A8,1015735,barcode08,24.56
B1,1015738,barcode09,24.56
B2,1015739,barcode10,24.56
B3,1015740,barcode11,24.56
B4,1015741,barcode12,24.56
B5,1015742,barcode13,24.56
B6,1022055,barcode14,24.56
B7,1022485,barcode15,24.56
B8,1029798,barcode16,24.56
C1,1030791,barcode17,24.56
C2,1031766,barcode18,24.56
C3,1031823,barcode19,24.56
C4,1031951,barcode20,24.56
C5,1032014,barcode21,24.56
C6,1032518,barcode22,24.56
C7,1032654,barcode23,24.56
C8,1032655,barcode24,24.56








